Awards,win,nomination,WonPrimetimeEmmy,WonOscar,WonGoldenGlobe,NominatedforPrimetimeEmmy,NominatedforOscar,NominatedforGoldenGlobe,NominatedforBAFTAFilmAward
1win&2nomination&,1,2,0,0,0,0,0,0,0
1win&,1,0,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
3win&2nomination&,3,2,0,0,0,0,0,0,0
1win&1nomination&,1,1,0,0,0,0,0,0,0
5nomination&,0,5,0,0,0,0,0,0,0
2win&5nomination&,2,5,0,0,0,0,0,0,0
Nominatedfor1Oscar&13win&13nomination&,13,14,0,0,0,0,1,0,0
5win&4nomination&,5,4,0,0,0,0,0,0,0
Nominatedfor1GoldenGlobe&14win&34nomination&,14,35,0,0,0,0,0,1,0
3win&2nomination&,3,2,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
5nomination&,0,5,0,0,0,0,0,0,0
1win&2nomination&,1,2,0,0,0,0,0,0,0
22win&44nomination&,22,44,0,0,0,0,0,0,0
1win&3nomination&,1,3,0,0,0,0,0,0,0
1win&8nomination&,1,8,0,0,0,0,0,0,0
2nomination&,0,2,0,0,0,0,0,0,0
6win&1nomination&,6,1,0,0,0,0,0,0,0
Won2GoldenGlobe&68win&201nomination&,70,201,0,0,2,0,0,0,0
Won1GoldenGlobe&31win&143nomination&,32,143,0,0,1,0,0,0,0
Nominatedfor4PrimetimeEmmy&16nomination&,0,20,0,0,0,4,0,0,0
3win&2nomination&,3,2,0,0,0,0,0,0,0
3win&6nomination&,3,6,0,0,0,0,0,0,0
2win&,2,0,0,0,0,0,0,0,0
6win&4nomination&,6,4,0,0,0,0,0,0,0
7win&6nomination&,7,6,0,0,0,0,0,0,0
9win&30nomination&,9,30,0,0,0,0,0,0,0
Won1PrimetimeEmmy&1win&6nomination&,2,6,1,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
Nominatedfor3BAFTAFilmAward&11win&39nomination&,11,42,0,0,0,0,0,0,3
6nomination&,0,6,0,0,0,0,0,0,0
1win&4nomination&,1,4,0,0,0,0,0,0,0
2win&5nomination&,2,5,0,0,0,0,0,0,0
14win&11nomination&,14,11,0,0,0,0,0,0,0
1win&1nomination&,1,1,0,0,0,0,0,0,0
1win&2nomination&,1,2,0,0,0,0,0,0,0
2nomination&,0,2,0,0,0,0,0,0,0
3win&3nomination&,3,3,0,0,0,0,0,0,0
Nominatedfor1GoldenGlobe&2win&14nomination&,2,15,0,0,0,0,0,1,0
2win&,2,0,0,0,0,0,0,0,0
Nominatedfor1PrimetimeEmmy&1nomination&,0,2,0,0,0,1,0,0,0
3win&1nomination&,3,1,0,0,0,0,0,0,0
1win&1nomination&,1,1,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
2win&,2,0,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
9win&8nomination&,9,8,0,0,0,0,0,0,0
1win&,1,0,0,0,0,0,0,0,0
1win&,1,0,0,0,0,0,0,0,0
15win&4nomination&,15,4,0,0,0,0,0,0,0
1win&,1,0,0,0,0,0,0,0,0
1win&1nomination&,1,1,0,0,0,0,0,0,0
3win&6nomination&,3,6,0,0,0,0,0,0,0
8win&8nomination&,8,8,0,0,0,0,0,0,0
2nomination&,0,2,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
1win&,1,0,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
2win&,2,0,0,0,0,0,0,0,0
1win&3nomination&,1,3,0,0,0,0,0,0,0
1win&,1,0,0,0,0,0,0,0,0
4nomination&,0,4,0,0,0,0,0,0,0
4win&,4,0,0,0,0,0,0,0,0
1win&,1,0,0,0,0,0,0,0,0
15nomination&,0,15,0,0,0,0,0,0,0
2win&,2,0,0,0,0,0,0,0,0
2win&,2,0,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
7win&7nomination&,7,7,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
1win&,1,0,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
1win&1nomination&,1,1,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
1win&,1,0,0,0,0,0,0,0,0
2win&,2,0,0,0,0,0,0,0,0
4win&9nomination&,4,9,0,0,0,0,0,0,0
1win&1nomination&,1,1,0,0,0,0,0,0,0
1win&,1,0,0,0,0,0,0,0,0
Won11Oscar&174win&113nomination&,185,113,0,11,0,0,0,0,0
4win&11nomination&,4,11,0,0,0,0,0,0,0
3win&4nomination&,3,4,0,0,0,0,0,0,0
1win&5nomination&,1,5,0,0,0,0,0,0,0
2win&2nomination&,2,2,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
Won1Oscar&11win&14nomination&,12,14,0,1,0,0,0,0,0
Won3PrimetimeEmmy&44nomination&,3,44,3,0,0,0,0,0,0
1win&1nomination&,1,1,0,0,0,0,0,0,0
2nomination&,0,2,0,0,0,0,0,0,0
1win&,1,0,0,0,0,0,0,0,0
Nominatedfor7Oscar&6win&36nomination&,6,43,0,0,0,0,7,0,0
1win&6nomination&,1,6,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
2win&,2,0,0,0,0,0,0,0,0
2win&7nomination&,2,7,0,0,0,0,0,0,0
14win&22nomination&,14,22,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
1win&2nomination&,1,2,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
12nomination&,0,12,0,0,0,0,0,0,0
5win&34nomination&,5,34,0,0,0,0,0,0,0
Nominatedfor1PrimetimeEmmy&1win&2nomination&,1,3,0,0,0,1,0,0,0
9nomination&,0,9,0,0,0,0,0,0,0
8nomination&,0,8,0,0,0,0,0,0,0
2nomination&,0,2,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
2nomination&,0,2,0,0,0,0,0,0,0
1win&,1,0,0,0,0,0,0,0,0
3win&,3,0,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
1win&5nomination&,1,5,0,0,0,0,0,0,0
2nomination&,0,2,0,0,0,0,0,0,0
10win&22nomination&,10,22,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
Nominatedfor2GoldenGlobe&21win&72nomination&,21,74,0,0,0,0,0,2,0
1nomination&,0,1,0,0,0,0,0,0,0
2win&3nomination&,2,3,0,0,0,0,0,0,0
1win&,1,0,0,0,0,0,0,0,0
1win&,1,0,0,0,0,0,0,0,0
1win&2nomination&,1,2,0,0,0,0,0,0,0
2win&1nomination&,2,1,0,0,0,0,0,0,0
1win&,1,0,0,0,0,0,0,0,0
2win&10nomination&,2,10,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
8win&10nomination&,8,10,0,0,0,0,0,0,0
2win&5nomination&,2,5,0,0,0,0,0,0,0
2win&8nomination&,2,8,0,0,0,0,0,0,0
2win&2nomination&,2,2,0,0,0,0,0,0,0
1win&1nomination&,1,1,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
6win&2nomination&,6,2,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
3nomination&,0,3,0,0,0,0,0,0,0
14win&17nomination&,14,17,0,0,0,0,0,0,0
3win&7nomination&,3,7,0,0,0,0,0,0,0
2nomination&,0,2,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
5win&2nomination&,5,2,0,0,0,0,0,0,0
1win&,1,0,0,0,0,0,0,0,0
1win&,1,0,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
13win&7nomination&,13,7,0,0,0,0,0,0,0
1win&1nomination&,1,1,0,0,0,0,0,0,0
1win&,1,0,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
3nomination&,0,3,0,0,0,0,0,0,0
3nomination&,0,3,0,0,0,0,0,0,0
2win&5nomination&,2,5,0,0,0,0,0,0,0
2win&,2,0,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
1win&,1,0,0,0,0,0,0,0,0
2nomination&,0,2,0,0,0,0,0,0,0
1win&15nomination&,1,15,0,0,0,0,0,0,0
1win&6nomination&,1,6,0,0,0,0,0,0,0
1win&5nomination&,1,5,0,0,0,0,0,0,0
3win&3nomination&,3,3,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
5nomination&,0,5,0,0,0,0,0,0,0
2win&1nomination&,2,1,0,0,0,0,0,0,0
6win&6nomination&,6,6,0,0,0,0,0,0,0
1win&1nomination&,1,1,0,0,0,0,0,0,0
1win&,1,0,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
1win&,1,0,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
4nomination&,0,4,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
2win&2nomination&,2,2,0,0,0,0,0,0,0
1win&,1,0,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
2win&1nomination&,2,1,0,0,0,0,0,0,0
1win&,1,0,0,0,0,0,0,0,0
Nominatedfor1Oscar&25win&51nomination&,25,52,0,0,0,0,1,0,0
1nomination&,0,1,0,0,0,0,0,0,0
8win&20nomination&,8,20,0,0,0,0,0,0,0
2nomination&,0,2,0,0,0,0,0,0,0
4nomination&,0,4,0,0,0,0,0,0,0
5win&12nomination&,5,12,0,0,0,0,0,0,0
3win&,3,0,0,0,0,0,0,0,0
1win&6nomination&,1,6,0,0,0,0,0,0,0
7win&5nomination&,7,5,0,0,0,0,0,0,0
4nomination&,0,4,0,0,0,0,0,0,0
2nomination&,0,2,0,0,0,0,0,0,0
2win&6nomination&,2,6,0,0,0,0,0,0,0
1win&14nomination&,1,14,0,0,0,0,0,0,0
Nominatedfor3Oscar&13win&40nomination&,13,43,0,0,0,0,3,0,0
1win&2nomination&,1,2,0,0,0,0,0,0,0
1win&1nomination&,1,1,0,0,0,0,0,0,0
1win&9nomination&,1,9,0,0,0,0,0,0,0
8win&6nomination&,8,6,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
8win&17nomination&,8,17,0,0,0,0,0,0,0
4win&1nomination&,4,1,0,0,0,0,0,0,0
1win&1nomination&,1,1,0,0,0,0,0,0,0
4win&4nomination&,4,4,0,0,0,0,0,0,0
5win&,5,0,0,0,0,0,0,0,0
27win&31nomination&,27,31,0,0,0,0,0,0,0
2win&1nomination&,2,1,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
3win&,3,0,0,0,0,0,0,0,0
4win&,4,0,0,0,0,0,0,0,0
4nomination&,0,4,0,0,0,0,0,0,0
5win&,5,0,0,0,0,0,0,0,0
2win&5nomination&,2,5,0,0,0,0,0,0,0
3win&,3,0,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
1win&1nomination&,1,1,0,0,0,0,0,0,0
Nominatedfor1Oscar&11win&24nomination&,11,25,0,0,0,0,1,0,0
1win&,1,0,0,0,0,0,0,0,0
3nomination&,0,3,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
21nomination&,0,21,0,0,0,0,0,0,0
4nomination&,0,4,0,0,0,0,0,0,0
1win&2nomination&,1,2,0,0,0,0,0,0,0
1win&,1,0,0,0,0,0,0,0,0
7win&9nomination&,7,9,0,0,0,0,0,0,0
1win&,1,0,0,0,0,0,0,0,0
3win&32nomination&,3,32,0,0,0,0,0,0,0
1win&,1,0,0,0,0,0,0,0,0
2win&1nomination&,2,1,0,0,0,0,0,0,0
4win&6nomination&,4,6,0,0,0,0,0,0,0
2win&,2,0,0,0,0,0,0,0,0
4nomination&,0,4,0,0,0,0,0,0,0
1win&,1,0,0,0,0,0,0,0,0
2win&,2,0,0,0,0,0,0,0,0
2nomination&,0,2,0,0,0,0,0,0,0
7win&7nomination&,7,7,0,0,0,0,0,0,0
2win&1nomination&,2,1,0,0,0,0,0,0,0
2nomination&,0,2,0,0,0,0,0,0,0
1win&,1,0,0,0,0,0,0,0,0
2nomination&,0,2,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
1win&1nomination&,1,1,0,0,0,0,0,0,0
Won6GoldenGlobe&80win&310nomination&,86,310,0,0,6,0,0,0,0
18win&7nomination&,18,7,0,0,0,0,0,0,0
1win&1nomination&,1,1,0,0,0,0,0,0,0
Nominatedfor3GoldenGlobe&3win&23nomination&,3,26,0,0,0,0,0,3,0
1nomination&,0,1,0,0,0,0,0,0,0
1win&,1,0,0,0,0,0,0,0,0
3win&,3,0,0,0,0,0,0,0,0
5win&25nomination&,5,25,0,0,0,0,0,0,0
3win&,3,0,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
1win&1nomination&,1,1,0,0,0,0,0,0,0
11win&,11,0,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
2nomination&,0,2,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
4win&1nomination&,4,1,0,0,0,0,0,0,0
2win&,2,0,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
1win&1nomination&,1,1,0,0,0,0,0,0,0
3nomination&,0,3,0,0,0,0,0,0,0
1win&2nomination&,1,2,0,0,0,0,0,0,0
2win&,2,0,0,0,0,0,0,0,0
6win&1nomination&,6,1,0,0,0,0,0,0,0
1win&,1,0,0,0,0,0,0,0,0
5win&9nomination&,5,9,0,0,0,0,0,0,0
5win&7nomination&,5,7,0,0,0,0,0,0,0
1win&,1,0,0,0,0,0,0,0,0
4win&5nomination&,4,5,0,0,0,0,0,0,0
4nomination&,0,4,0,0,0,0,0,0,0
1win&4nomination&,1,4,0,0,0,0,0,0,0
1win&1nomination&,1,1,0,0,0,0,0,0,0
1win&,1,0,0,0,0,0,0,0,0
1win&,1,0,0,0,0,0,0,0,0
4win&,4,0,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
1win&,1,0,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
2nomination&,0,2,0,0,0,0,0,0,0
36win&20nomination&,36,20,0,0,0,0,0,0,0
1win&1nomination&,1,1,0,0,0,0,0,0,0
12nomination&,0,12,0,0,0,0,0,0,0
1win&,1,0,0,0,0,0,0,0,0
3nomination&,0,3,0,0,0,0,0,0,0
5win&6nomination&,5,6,0,0,0,0,0,0,0
1win&5nomination&,1,5,0,0,0,0,0,0,0
1win&5nomination&,1,5,0,0,0,0,0,0,0
1win&1nomination&,1,1,0,0,0,0,0,0,0
4win&1nomination&,4,1,0,0,0,0,0,0,0
1win&,1,0,0,0,0,0,0,0,0
2win&19nomination&,2,19,0,0,0,0,0,0,0
4nomination&,0,4,0,0,0,0,0,0,0
Nominatedfor2Oscar&23win&99nomination&,23,101,0,0,0,0,2,0,0
1nomination&,0,1,0,0,0,0,0,0,0
3win&6nomination&,3,6,0,0,0,0,0,0,0
1win&,1,0,0,0,0,0,0,0,0
1win&,1,0,0,0,0,0,0,0,0
10win&24nomination&,10,24,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
26win&18nomination&,26,18,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
2win&3nomination&,2,3,0,0,0,0,0,0,0
2nomination&,0,2,0,0,0,0,0,0,0
Nominatedfor5Oscar&26win&88nomination&,26,93,0,0,0,0,5,0,0
1win&2nomination&,1,2,0,0,0,0,0,0,0
1win&4nomination&,1,4,0,0,0,0,0,0,0
1win&1nomination&,1,1,0,0,0,0,0,0,0
3nomination&,0,3,0,0,0,0,0,0,0
3win&1nomination&,3,1,0,0,0,0,0,0,0
1win&1nomination&,1,1,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
Nominatedfor1Oscar&2win&4nomination&,2,5,0,0,0,0,1,0,0
1win&,1,0,0,0,0,0,0,0,0
5nomination&,0,5,0,0,0,0,0,0,0
1win&2nomination&,1,2,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
4nomination&,0,4,0,0,0,0,0,0,0
2win&1nomination&,2,1,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
3win&1nomination&,3,1,0,0,0,0,0,0,0
1win&1nomination&,1,1,0,0,0,0,0,0,0
2win&,2,0,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
1win&9nomination&,1,9,0,0,0,0,0,0,0
2win&1nomination&,2,1,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
Nominatedfor1Oscar&2win&14nomination&,2,15,0,0,0,0,1,0,0
28win&16nomination&,28,16,0,0,0,0,0,0,0
1win&1nomination&,1,1,0,0,0,0,0,0,0
1win&,1,0,0,0,0,0,0,0,0
1win&2nomination&,1,2,0,0,0,0,0,0,0
Won1GoldenGlobe&10win&57nomination&,11,57,0,0,1,0,0,0,0
1win&6nomination&,1,6,0,0,0,0,0,0,0
1win&1nomination&,1,1,0,0,0,0,0,0,0
1win&,1,0,0,0,0,0,0,0,0
2win&2nomination&,2,2,0,0,0,0,0,0,0
8win&6nomination&,8,6,0,0,0,0,0,0,0
1win&,1,0,0,0,0,0,0,0,0
2win&,2,0,0,0,0,0,0,0,0
1win&,1,0,0,0,0,0,0,0,0
5win&2nomination&,5,2,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
2nomination&,0,2,0,0,0,0,0,0,0
3win&,3,0,0,0,0,0,0,0,0
1win&3nomination&,1,3,0,0,0,0,0,0,0
3win&,3,0,0,0,0,0,0,0,0
1win&6nomination&,1,6,0,0,0,0,0,0,0
2win&17nomination&,2,17,0,0,0,0,0,0,0
1win&,1,0,0,0,0,0,0,0,0
6win&4nomination&,6,4,0,0,0,0,0,0,0
1win&,1,0,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
2win&10nomination&,2,10,0,0,0,0,0,0,0
26win&24nomination&,26,24,0,0,0,0,0,0,0
1win&,1,0,0,0,0,0,0,0,0
1win&,1,0,0,0,0,0,0,0,0
2nomination&,0,2,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
1win&,1,0,0,0,0,0,0,0,0
1win&,1,0,0,0,0,0,0,0,0
1win&,1,0,0,0,0,0,0,0,0
Won1PrimetimeEmmy&3win&3nomination&,4,3,1,0,0,0,0,0,0
2win&,2,0,0,0,0,0,0,0,0
1win&,1,0,0,0,0,0,0,0,0
2nomination&,0,2,0,0,0,0,0,0,0
2win&,2,0,0,0,0,0,0,0,0
3nomination&,0,3,0,0,0,0,0,0,0
Nominatedfor1Oscar&5win&1nomination&,5,2,0,0,0,0,1,0,0
Nominatedfor1Oscar&1win&,1,1,0,0,0,0,1,0,0
2nomination&,0,2,0,0,0,0,0,0,0
2win&,2,0,0,0,0,0,0,0,0
1win&,1,0,0,0,0,0,0,0,0
1win&1nomination&,1,1,0,0,0,0,0,0,0
1win&4nomination&,1,4,0,0,0,0,0,0,0
3win&,3,0,0,0,0,0,0,0,0
2win&,2,0,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
1win&3nomination&,1,3,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
5nomination&,0,5,0,0,0,0,0,0,0
1win&,1,0,0,0,0,0,0,0,0
2win&4nomination&,2,4,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
Won6Oscar&48win&28nomination&,54,28,0,6,0,0,0,0,0
12win&20nomination&,12,20,0,0,0,0,0,0,0
1win&9nomination&,1,9,0,0,0,0,0,0,0
2nomination&,0,2,0,0,0,0,0,0,0
Nominatedfor2GoldenGlobe&1win&4nomination&,1,6,0,0,0,0,0,2,0
4win&12nomination&,4,12,0,0,0,0,0,0,0
Nominatedfor4Oscar&28win&116nomination&,28,120,0,0,0,0,4,0,0
Won1Oscar&7win&29nomination&,8,29,0,1,0,0,0,0,0
Nominatedfor2Oscar&25win&58nomination&,25,60,0,0,0,0,2,0,0
1win&,1,0,0,0,0,0,0,0,0
2nomination&,0,2,0,0,0,0,0,0,0
1win&1nomination&,1,1,0,0,0,0,0,0,0
2win&1nomination&,2,1,0,0,0,0,0,0,0
6win&10nomination&,6,10,0,0,0,0,0,0,0
Won1GoldenGlobe&5win&17nomination&,6,17,0,0,1,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
2win&,2,0,0,0,0,0,0,0,0
1win&,1,0,0,0,0,0,0,0,0
2win&3nomination&,2,3,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
1win&,1,0,0,0,0,0,0,0,0
Nominatedfor3GoldenGlobe&1win&25nomination&,1,28,0,0,0,0,0,3,0
1win&7nomination&,1,7,0,0,0,0,0,0,0
3win&,3,0,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
2nomination&,0,2,0,0,0,0,0,0,0
5win&1nomination&,5,1,0,0,0,0,0,0,0
1win&,1,0,0,0,0,0,0,0,0
7nomination&,0,7,0,0,0,0,0,0,0
2win&2nomination&,2,2,0,0,0,0,0,0,0
1win&,1,0,0,0,0,0,0,0,0
2nomination&,0,2,0,0,0,0,0,0,0
2nomination&,0,2,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
4nomination&,0,4,0,0,0,0,0,0,0
Nominatedfor1PrimetimeEmmy&4win&17nomination&,4,18,0,0,0,1,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
2win&10nomination&,2,10,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
1win&1nomination&,1,1,0,0,0,0,0,0,0
2win&8nomination&,2,8,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
1win&1nomination&,1,1,0,0,0,0,0,0,0
3win&10nomination&,3,10,0,0,0,0,0,0,0
Nominatedfor2PrimetimeEmmy&8win&14nomination&,8,16,0,0,0,2,0,0,0
1win&,1,0,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
4win&9nomination&,4,9,0,0,0,0,0,0,0
1win&,1,0,0,0,0,0,0,0,0
3nomination&,0,3,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
1win&7nomination&,1,7,0,0,0,0,0,0,0
7win&8nomination&,7,8,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
1win&,1,0,0,0,0,0,0,0,0
1win&2nomination&,1,2,0,0,0,0,0,0,0
1win&3nomination&,1,3,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
1win&,1,0,0,0,0,0,0,0,0
11win&6nomination&,11,6,0,0,0,0,0,0,0
1win&,1,0,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
1nomination&,0,1,0,0,0,0,0,0,0
8win&17nomination&,8,17,0,0,0,0,0,0,0
1win&,1,0,0,0,0,0,0,0,0
4nomination&,0,4,0,0,0,0,0,0,0
1win&12nomination&,1,12,0,0,0,0,0,0,0
